Matrix_Length, naive_dotprodoct, unloop, OpenMP, avx2, avx2+OpenMP
128, 6, 5, 30, 1, 78
256, 46, 45, 139, 14, 267
384, 154, 153, 835, 42, 525
512, 370, 360, 617, 92, 1066
640, 747, 714, 1254, 196, 1430
768, 1192, 1184, 2617, 347, 2409
896, 1967, 1951, 2067, 490, 2985
1024, 2961, 2926, 2863, 741, 3925
1152, 4170, 4159, 3970, 1077, 5347
1280, 5750, 5756, 6632, 1526, 7578
1408, 7755, 7609, 7262, 1966, 9840
1536, 10086, 10188, 8616, 2620, 10525
1664, 12767, 12715, 10932, 3314, 12659
1792, 15958, 16149, 15072, 4187, 17373
1920, 19927, 19551, 16873, 4986, 21178
2048, 23863, 24924, 26482, 5788, 19787
